"","licence_numbers","business_name","name_of_license","premise_address","postcodes","lat","long"
"244","NW16763X000","HAO MART","HAO MART PTE. LTD.","505 CANBERRA LINK #01-01, MONTREAL SPRING S(750505)","750505",1.4500744,103.8223765
"245","NW17024A000","-","SUN TRG & CON PTE. LTD.","280 WOODLANDS INDUSTRIAL PARK E5 #01-24, HARVEST @ WOODLANDS S(757322)","757322",50.69155895,14.4634312847208
"246","NW17097K000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","17 PETIR ROAD #B2-67, HILLION MALL S(678278)","678278",1.37380519,103.808547700908
"247","NW17277E000","Maa Supermarket","MAA TRADING PTE. LTD.","280 WOODLANDS INDUSTRIAL PARK E5 #01-47, HARVEST @ WOODLANDS S(757322)","757322",50.69155895,14.4634312847208
"248","NW17310P000","The Seafood Market Place by Song Fish","SONG FISH DEALER PTE LTD","930 YISHUN AVENUE 2 #B1-05, NORTHPOINT SHOPPING CENTRE S(769098)","769098",1.42927133,103.836147800464
"249","NW17421C000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","446 FAJAR ROAD #01-01, S(670446)","670446",1.3841606,103.7708575
"250","NW17734V000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","4 WOODLANDS STREET 12 #02-61, S(738623)","738623",1.4336189,103.7799353
"251","NW17872B000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","1 NORTHPOINT DRIVE #B2-103,#B2-106,#B2-104,#B2-107,#B2-105, NORTHPOINT CITY S(768019)","768019",21.481758,83.8865083
"252","NW17908L000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","676 WOODLANDS DRIVE 71 #B1-02, S(730676)","730676",1.4398101,103.80071795
"253","NW18021V000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","105 CANBERRA STREET #02-05, S(750105)","750105",1.4488286,103.832419803653
"254","NW18091N000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","29A GHIM MOH LINK #01-01, S(271029)","271029",1.3084919,103.784645497228
"255","NW18310J000","TASTY FARM","SONG FISH DEALER PTE LTD","676 WOODLANDS DRIVE 71 #01-04, S(730676)","730676",1.4398101,103.80071795
"256","NW18478E000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","675 YISHUN AVENUE 4 #01-10, S(760675)","760675",1.420090325,103.843548913807
"257","NW18649C000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","785E WOODLANDS RISE #01-01, S(735785)","735785",1.44671705,103.805699091425
"258","NW18778K000","SHENG SIONG SUPERMARKET","SHENG SIONG SUPERMARKET PTE LTD","573 WOODLANDS DRIVE 16 #02-01, S(730573)","730573",1.431076175,103.798494347295
"259","NW18A75V000","-","ANG MO SUPERMARKET PTE LTD","260 ANG MO KIO STREET 21 #01-05, MULTI STOREY CAR PARK S(560260)","560260",1.36888135,103.834384609262
"260","NW18B29C000","ANG MO SUPERMARKET","ANG MO SUPERMARKET PTE LTD","120 CANBERRA CRESCENT #01-10, MULTI STOREY CAR PARK S(750120)","750120",1.44565795,103.831537934643
"261","NW19252J000","PRIME FOOD & GROCER","PRIME SUPERMARKET (1996) PTE LTD","461 YISHUN AVENUE 6 #01-01,#01-02, MULTI STOREY CAR PARK S(760461)","760461",1.4284036,103.849982426415
"262","NW19637C000","YEO EXPRESS","YEO WHOLESALE AND TRADING PTE. LTD.","443C FAJAR ROAD #01-70, FAJAR HILLS S(673443)","673443",51.75604595,117.02539665
"263","S02021B000","FAIRPRICE","NTUC FAIRPRICE CO-OPERATIVE LTD","510 BISHAN STREET 13 #01-520, S(570510)","570510",1.3489,103.849667935042
