"","Type","Name","Address","Region","postcode","lat","long"
"29","Market & Food Centre","North Bridge Road Market & Food Centre","861 North Bridge Road, S(198783)","Central","198783",18.857519,93.707878
"30","Market & Food Centre","People's Park Food Centre","32 New Bridge Road, S(050032)","Central","050032",44.433988525,26.09390635
"31","Market & Food Centre","Sims Vista Market & Food Centre","Blk 49 Sims Place, S(380049)","Central","380049",1.31704835,103.879337862705
"32","Market & Food Centre","Tanglin Halt Market","48A, Tanglin Halt Road, S(148813)","Central","148813",1.30054685,103.797766357376
"33","Market & Food Centre","Upper Boon Keng Market & Food Centre","Blk 17, Upper Boon Keng Road, S(380017)","Central","380017",1.3150399,103.871634054316
"34","Market & Food Centre","Whampoa Drive Makan Place@Blk 90","Blk 90 Whampoa Drive, S(320090)","Central","320090",1.3230263,103.8550301
"35","MRT Station","Ang Mo Kio MRT station","2450 Ang Mo Kio Avenue 8, S(569811)","Central","569811",1.3698182,103.84957865
"36","MRT Station","Bencoolen MRT Station (DT23)","31, Bencoolen Street, S(189658)","Central","189658",1.29860845,103.850126996309
"37","MRT Station","Bishan MRT station","200 Bishan Road, S(579827)","Central","579827",1.3507603,103.8484085
"38","MRT Station","Boon Keng MRT Station (NE9)","900 Serangoon Road, S(328260)","Central","328260",1.31958,103.86194
"39","MRT Station","Botanic Garden (DT9)","100 Cluny Park, S(257494)","Central","257494",1.322535,103.815374
"40","MRT Station","Botanic Gardens MRT station","701, Telok Blangah Road, S(109029)","Central","109029",55.7371820490196,37.686358597319
"41","MRT Station","Bras Basah MRT Station","65 Bras Basah Road, S(189561)","Central","189561",1.29689745,103.850634166598
"42","MRT Station","Bugis MRT Station (DT14)","220 Voctoria Street, S(188022)","Central","188022",1.3004636,103.8560194
"43","MRT Station","Caldecott MRT Station (TE9)","38 Toa Payoh Rise, S(298113)","Central","298113",45.0515556,35.3748131
"44","MRT Station","City Hall MRT Station","150 North Bridge Road, S(179100) EW13","Central","179100",1.2931365,103.8522936
"45","MRT Station","Commonwealth MRT Station (EW20)","375 Commonwealth Avenue, S(149735)","Central","149735",1.302442425,103.79830408743
"46","MRT Station","Dhoby Ghaut MRT Station","11 Orchard Road, S(238826) NS24","Central","238826",1.29868125,103.84595605
"47","MRT Station","Downtown MRT Station (DT17)","15 Central Boulevard, S(018969)","Central","018969",1.27939495,103.852992505509
"48","MRT Station","Esplanade MRT Station","90 Bras Basah Road, S(189562)","Central","189562",1.2936325,103.85538595
"49","MRT Station","Farrer Road MRT station","119, Pasir Panjang Road, S(117424)","Central","117424",44.768602,25.1431763
"50","MRT Station","Fort Canning MRT Station (DT20)","170 River Valley Road, S(179038)","Central","179038",1.2923829,103.844241956492
