"","Name","rack_count","longitude","latitude","address"
"140","kml_140",54,"103.786867166995","1.29913119198441","11 Ayer Rajah Ave, Singapore"
"141","kml_141",20,"103.790903524748","1.30625884049401","151 North Buona Vista Rd, Singapore 139347"
"142","kml_142",20,"103.789236008136","1.30734214748338","100 North Buona Vista Rd, Buona Vista, Singapore 139349"
"143","kml_143",60,"103.790714066168","1.30690191336055","100 North Buona Vista Rd, Buona Vista, Singapore 139349"
"144","kml_144",80,"103.796157051044","1.3113376518036","Holland V Stn Exit A, Singapore"
"145","kml_145",32,"103.807650770066","1.3177492216187","Farrer Rd Stn Exit B, Singapore"
"146","kml_146",52,"103.807983201501","1.31748929636617","Farrer Rd, Farrer Road, Singapore"
"147","kml_147",76,"103.814533892822","1.32171926708658","89 Cluny Park Rd, Singapore 259591"
"148","kml_148",100,"103.816863126792","1.32253639523306","481 Bukit Timah Rd, Singapore"
"149","kml_149",32,"103.8398155427","1.3375916192765","Caldecott, Singapore"
